nodeId,household_id,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,mean_temp_c,max_temp_c,hot_days,mean_humidity_pct,rain_mm,label
BILL_KHH0007_2024_02,KHH0007,2024-02,738.6,716.3,22.2,3.01,94.7,0.0,2.29,9.2,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0008_2024_02,KHH0008,2024-02,186.0,177.9,8.0,4.31,31.3,0.0,1.13,4.5,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0009_2024_02,KHH0009,2024-02,249.0,198.0,51.0,20.48,40.4,8.02,3.91,31.7,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0010_2024_02,KHH0010,2024-02,965.8,887.4,78.4,8.12,122.9,11.05,3.57,36.4,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0011_2024_02,KHH0011,2024-02,717.1,668.0,49.1,6.85,90.3,8.49,1.59,23.4,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0012_2024_02,KHH0012,2024-02,617.9,543.8,74.1,11.99,75.8,8.93,3.98,33.8,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0013_2024_02,KHH0013,2024-02,608.3,567.1,41.3,6.78,78.9,0.0,4.24,17.0,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0014_2024_02,KHH0014,2024-02,493.5,482.8,10.7,2.17,64.4,1.62,0.44,5.0,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0015_2024_02,KHH0015,2024-02,901.7,835.4,66.4,7.36,115.0,8.05,3.55,30.3,21.2,30.5,0,69.5,16.5,MonthlyBill
BILL_KHH0016_2024_02,KHH0016,2024-02,973.0,893.0,80.1,8.23,122.6,7.96,5.0,35.9,21.2,30.5,0,69.5,16.5,MonthlyBill
