date,actual_mw,pred_mw,pred_mw_k1,robust_mw_k1,pred_mw_k2,robust_mw_k2,pred_mw_k3,robust_mw_k3,pred_mw_k4,robust_mw_k4,pred_mw_k5,robust_mw_k5,pred_mw_k6,robust_mw_k6,pred_mw_k7,robust_mw_k7,pred_mw_k8,robust_mw_k8,pred_mw_k9,robust_mw_k9,pred_mw_k10,robust_mw_k10,pred_mw_k11,robust_mw_k11,pred_mw_k12,robust_mw_k12,pred_mw_k13,robust_mw_k13,pred_mw_k14,robust_mw_k14,pred_mw_k15,robust_mw_k15
2020-01-08,68.0,64.221,64.221,77.472,64.369,78.795,64.963,80.145,65.159,80.824,65.388,81.322,65.381,81.591,65.533,81.992,65.685,82.299,65.744,82.506,65.8,82.799,66.02,82.877,66.147,83.023,66.253,83.123,66.335,83.276,66.589,83.78
2020-01-09,66.0,65.24,65.24,78.492,65.424,79.85,65.991,81.173,66.202,81.867,66.433,82.367,66.429,82.638,66.579,83.039,66.736,83.35,66.799,83.56,66.859,83.858,67.067,83.923,67.178,84.054,67.266,84.136,67.355,84.297,67.568,84.759
2020-01-10,66.0,65.589,65.589,78.841,65.785,80.211,66.341,81.523,66.555,82.22,66.785,82.719,66.78,82.99,66.93,83.389,67.087,83.702,67.151,83.912,67.212,84.211,67.416,84.272,67.522,84.398,67.603,84.473,67.694,84.636,67.89,85.081
2020-01-11,66.0,65.518,65.518,78.769,65.71,80.136,66.265,81.447,66.474,82.14,66.7,82.634,66.693,82.903,66.841,83.3,66.998,83.612,67.06,83.822,67.121,84.12,67.324,84.181,67.432,84.308,67.514,84.384,67.602,84.543,67.798,84.989
2020-01-12,69.0,65.737,65.737,78.989,65.937,80.363,66.487,81.669,66.7,82.366,66.928,82.862,66.921,83.131,67.069,83.529,67.227,83.841,67.29,84.052,67.353,84.352,67.553,84.41,67.658,84.534,67.735,84.606,67.826,84.767,68.014,85.204
2020-01-13,66.0,65.584,65.584,78.836,65.779,80.205,66.335,81.517,66.548,82.214,66.777,82.711,66.772,82.982,66.921,83.381,67.079,83.693,67.142,83.904,67.204,84.203,67.407,84.263,67.513,84.389,67.594,84.464,67.685,84.626,67.881,85.071
2020-01-14,69.0,65.104,65.104,78.355,65.282,79.708,65.851,81.033,66.057,81.722,66.285,82.219,66.279,82.489,66.429,82.888,66.584,83.199,66.646,83.408,66.705,83.704,66.914,83.771,67.028,83.904,67.118,83.988,67.205,84.146,67.421,84.611
2020-01-15,69.0,65.269,65.269,78.521,65.453,79.879,66.017,81.199,66.225,81.891,66.454,82.388,66.448,82.658,66.597,83.057,66.753,83.368,66.816,83.577,66.876,83.875,67.083,83.939,67.194,84.07,67.28,84.151,67.369,84.31,67.577,84.768
2020-01-16,66.0,66.168,66.168,79.42,66.383,80.809,66.922,82.104,67.142,82.807,67.371,83.304,67.366,83.575,67.513,83.973,67.673,84.287,67.738,84.5,67.802,84.801,67.998,84.854,68.095,84.971,68.166,85.036,68.259,85.201,68.43,85.62
2020-01-17,72.0,66.581,66.581,79.833,66.809,81.235,67.332,82.514,67.553,83.218,67.777,83.711,67.77,83.979,67.914,84.373,68.074,84.689,68.14,84.901,68.205,85.204,68.394,85.251,68.486,85.362,68.548,85.419,68.642,85.583,68.79,85.981
2020-01-18,75.0,67.121,67.121,80.372,67.368,81.794,67.88,83.062,68.11,83.776,68.339,84.273,68.334,84.544,68.479,84.939,68.643,85.257,68.711,85.472,68.779,85.778,68.962,85.819,69.045,85.921,69.098,85.969,69.198,86.139,69.326,86.517
