substation,model,horizon_days,train_r2,val_r2,val_rmse,test_r2,test_rmse,test_mae,val_mape,test_mape,sigma_k_mw,z_beta_sigma_mw
Bangabhaban,BiGRU,2,0.670654126053327,0.22253035192375692,6.629026344933339,0.5111769000509927,4.893030407551247,3.791528463617726,61.60630687392427,58.49114898096271,6.6281,8.4942
Bangabhaban,BiGRU,3,0.6612289731382417,0.19268426596238752,6.7550680993017584,0.5025548842705246,4.938316333880559,3.826151291961855,62.492379086187945,58.524909623824385,6.7551,8.657
Bangabhaban,BiGRU,4,0.62803009370569,0.1980318401063592,6.732658499169109,0.43673036581598856,5.252507283940805,4.137796357374061,62.72911781949519,61.9756385565652,6.7381,8.6353
Bangabhaban,BiGRU,5,0.6422736132162641,0.2037976260729245,6.7212295461983915,0.4825240597637541,5.034051087687671,3.90866894518688,62.233123227227885,57.874386258563746,6.7296,8.6243
Bangabhaban,BiGRU,6,0.6781753170587226,0.19267240491270798,6.76802403656118,0.5282319745866452,4.811501929361762,3.6348963259412717,62.8714625803116,54.27141589518695,6.7733,8.6803
Bangabhaban,BiGRU,7,0.6708896990837163,0.17553534059671727,6.8361891420754395,0.5363387975460487,4.770924057905387,3.611884370921272,63.83403009942351,53.9667030823778,6.8414,8.7676
Bangabhaban,BiGRU,8,0.6652870605749348,0.15873361789511298,6.909830251646519,0.5229950755126158,4.847040726531395,3.6741726934864,64.26748407549533,54.54837742927526,6.9111,8.8569
Bangabhaban,BiGRU,9,0.6397079130961445,0.14606696005786401,6.9715388218092995,0.472642649243169,5.0995585076963215,3.9556965360128933,66.16017926987753,59.888962077197284,6.9704,8.933
Bangabhaban,BiGRU,10,0.6317261457654495,0.14366375296812928,6.991209385232635,0.4737488788411711,5.098775541193686,3.9732311959726903,66.87309427096793,59.47634168208412,6.9885,8.9561
Bangabhaban,BiGRU,11,0.6016896694049566,0.16921554126586036,6.880270811010207,0.4161719724937911,5.3695820062576,4.2811410575614355,66.14354743384726,62.559099244310765,6.8837,8.8218
Bangabhaban,BiGRU,12,0.6187305860631633,0.18264339863772516,6.8300977746397376,0.46902805028337025,5.1215931080479935,4.0382813474010035,64.65301120933904,58.33573138681305,6.8352,8.7597
Bangabhaban,BiGRU,13,0.6454606748873832,0.1959945166143382,6.7794648960342085,0.5190518118365428,4.8794114781532665,3.7739854465738363,64.11639860971665,54.44300100898474,6.7785,8.687
Bangabhaban,BiGRU,14,0.6364671335647019,0.2087566586073314,6.712911973775516,0.526824514289078,4.839822288818534,3.726885627682887,64.17173158881947,54.649749482812545,6.707,8.5953
Bangabhaban,BiGRU,15,0.6229945725904933,0.2168732947334291,6.676226577981666,0.4930719537163254,5.017236225006677,3.8967090882972304,63.27435794482367,56.45157950765803,6.6691,8.5468
Bangabhaban,BiLSTM+BiGRU,1,0.6996794827161302,0.2659496715084565,6.4421302620894485,0.5611447141667043,4.63093593456564,3.544542864749933,58.097084673283064,52.72200023114084,6.4498,8.2657
Bangabhaban,BiLSTM+BiGRU,2,0.6511461613818527,0.22466303700712098,6.619928025644931,0.4795930751950951,5.048630512150479,4.014255720566381,61.423846046144426,60.06130834436867,6.6284,8.4947
Bangabhaban,BiLSTM+BiGRU,3,0.6521348213689317,0.1988627560943279,6.729169755057686,0.488995186162022,5.005169809244886,3.8883332431900333,62.4732084718189,59.50657232964103,6.7338,8.6297
Bangabhaban,BiLSTM+BiGRU,4,0.6394816295978292,0.19109610129074017,6.761709174836415,0.4743480678599945,5.074083693580721,3.9724651751747944,63.09314280425422,59.09119853621746,6.7649,8.6696
Bangabhaban,BiLSTM+BiGRU,5,0.6398195202390542,0.19867170960831249,6.742830328383842,0.47005660512773495,5.094332405085183,3.9644373198970304,63.598272637244236,59.09713147622004,6.748,8.6479
Bangabhaban,BiLSTM+BiGRU,6,0.6639414377843198,0.18311068751065185,6.807985167231482,0.5076878567186365,4.9151489909068635,3.772747377628903,63.07123843687511,55.76227100090823,6.816,8.7351
Bangabhaban,BiLSTM+BiGRU,7,0.6397786690130827,0.17088517145815074,6.855440868913138,0.47396083896139773,5.081725046728564,3.962748547071471,64.35501303841954,58.773641946294894,6.864,8.7965
Bangabhaban,BiLSTM+BiGRU,8,0.6647160345370141,0.15677994228213754,6.917848959338258,0.5236813857301101,4.843552532985902,3.7100328675518903,63.07115930355117,54.03956309221498,6.9265,8.8767
Bangabhaban,BiLSTM+BiGRU,9,0.6167688534340228,0.15824602585987768,6.921645126115112,0.43693069517615946,5.269398012424046,4.18389249303338,65.86768981045064,61.948744940888645,6.9278,8.8783
Bangabhaban,BiLSTM+BiGRU,10,0.622869407887203,0.14508193967744532,6.985417881787072,0.46215733096264044,5.15462414240431,4.065973660132428,66.28467790864823,60.24855880558165,6.9897,8.9577
Bangabhaban,BiLSTM+BiGRU,11,0.6107315971653297,0.16015189915363737,6.917699983779609,0.4602347961444866,5.162980104750377,4.0956505391028255,66.18630672098988,59.51466258791864,6.9171,8.8646
Bangabhaban,BiLSTM+BiGRU,12,0.6139933462633786,0.1847927590968299,6.821111485296209,0.4606897379305248,5.161650861229165,4.067988517387562,65.24162689749355,59.021514555342435,6.821,8.7414
Bangabhaban,BiLSTM+BiGRU,13,0.6302661240721714,0.18747693609284,6.815280887587448,0.4915733176907354,5.016865571683176,3.925615692317331,64.50749465472603,56.937389773914205,6.8166,8.7359
Bangabhaban,BiLSTM+BiGRU,14,0.6030532898987339,0.20145623439751448,6.7438092842171,0.4573976040373139,5.182736756480822,4.101746217897322,64.35039682197586,59.54249730110519,6.7464,8.6459
Bangabhaban,BiLSTM+BiGRU,15,0.6234902194882845,0.21038141919124953,6.703841382078242,0.5117561980804786,4.923906061288462,3.8411150676679635,62.31616434574207,54.57251724978571,6.7083,8.597
Bangabhaban,BiGRU+BiLSTM,1,0.6973054140356167,0.2608210238697286,6.464595960847658,0.5533569636411595,4.671844614610275,3.5673185132954766,59.1135613363513,54.65721583152904,6.468,8.2891
Bangabhaban,BiGRU+BiLSTM,2,0.6561077911132793,0.21533989263655196,6.6596102019620504,0.4837256177831154,5.028545013268174,3.929811736428428,62.220684624888676,60.48295403811389,6.6613,8.5368
Bangabhaban,BiGRU+BiLSTM,3,0.6394666866634153,0.1952792753826461,6.74420272542542,0.4667025104970599,5.113180102366851,3.9411859761087675,63.040351276566675,61.85238417556024,6.745,8.644
Bangabhaban,BiGRU+BiLSTM,4,0.6099954952666333,0.17999640786842797,6.80794283958638,0.4043155879871808,5.40152774966572,4.304877732462954,65.74714431933236,65.70720514991623,6.8057,8.7219
Bangabhaban,BiGRU+BiLSTM,5,0.6389717820436449,0.19344568969368103,6.764781942615765,0.4660466440469948,5.113569909261968,3.94830122840157,63.317304852878856,59.94872372964474,6.7687,8.6745
