src_label,src,type,dst_label,dst,rank
Substation,Dhanmondi,HAS_TOU_WINDOW,TouWindow,TOU-Dhanmondi,
Substation,Kalyanpur,HAS_TOU_WINDOW,TouWindow,TOU-Kalyanpur,
Substation,Dhanmondi,CONNECTS,TieLine,TL-Dhanmondi-Kalyanpur,
TieLine,TL-Dhanmondi-Kalyanpur,CONNECTS,Substation,Kalyanpur,
Substation,Kalyanpur,CONNECTS,TieLine,TL-Kalyanpur-Dhanmondi,
TieLine,TL-Kalyanpur-Dhanmondi,CONNECTS,Substation,Dhanmondi,
Archetype,Res-A,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-B,SUBJECT_TO,TariffClass,LT-A,
Archetype,Res-C,SUBJECT_TO,TariffClass,LT-A,
Archetype,Commercial,SUBJECT_TO,TariffClass,LT-E,
Archetype,Industrial,SUBJECT_TO,TariffClass,LT-C1,
Archetype,Hospital,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Educational,SUBJECT_TO,TariffClass,LT-D1,
Archetype,Government,SUBJECT_TO,TariffClass,LT-E,
DrAction,DR-KLNC0061-2026-07-02-01-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-01,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-02-Y,
DrAction,DR-KLNC0061-2026-07-02-02-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S02,
DrAction,DR-KLNC0061-2026-07-02-02-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-02,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-04-Y,
DrAction,DR-KLNC0061-2026-07-02-04-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S04,
DrAction,DR-KLNC0061-2026-07-02-04-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-04,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-05-Y,
DrAction,DR-KLNC0061-2026-07-02-05-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S05,
DrAction,DR-KLNC0061-2026-07-02-05-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-05,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-06-Y,
DrAction,DR-KLNC0061-2026-07-02-06-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S06,
DrAction,DR-KLNC0061-2026-07-02-06-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-06,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-08-Y,
DrAction,DR-KLNC0061-2026-07-02-08-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S08,
DrAction,DR-KLNC0061-2026-07-02-08-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-08,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-09-Y,
DrAction,DR-KLNC0061-2026-07-02-09-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S09,
DrAction,DR-KLNC0061-2026-07-02-09-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-09,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-10-Y,
DrAction,DR-KLNC0061-2026-07-02-10-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S10,
DrAction,DR-KLNC0061-2026-07-02-10-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-10,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-11-Y,
DrAction,DR-KLNC0061-2026-07-02-11-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S11,
DrAction,DR-KLNC0061-2026-07-02-11-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-11,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-12-Y,
DrAction,DR-KLNC0061-2026-07-02-12-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S12,
DrAction,DR-KLNC0061-2026-07-02-12-Y,REDUCES,LoadProfile,LP-KLN-2026-07-02-12,
Household,KLNC0061,PERFORMED,DrAction,DR-KLNC0061-2026-07-02-14-Y,
DrAction,DR-KLNC0061-2026-07-02-14-Y,AT_TIMESLOT,TimeSlot,2026-07-02-S14,
