consumer_id,date,substation,archetype,category,w_h,n_shift_slots,n_curtail_slots,energy_shifted_kwh,energy_curtailed_kwh,max_y,never_curtailed,never_shifted,participated,id
DHNC0158,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0158-2026-06-14
DHNC0159,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0159-2026-06-14
DHNC0160,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0160-2026-06-14
DHNC0161,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,46.45617201865355,0.354093513208004,False,True,True,PS-DHNC0161-2026-06-14
DHNC0162,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0162-2026-06-14
DHNC0163,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0163-2026-06-14
DHNC0164,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,4,0.0,354.74566010649187,0.3624957517971772,False,True,True,PS-DHNC0164-2026-06-14
DHNC0165,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0165-2026-06-14
DHNC0166,2026-06-14,Dhanmondi,Res-B,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0166-2026-06-14
DHNC0167,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,561.7374667883756,0.4508879695338115,False,True,True,PS-DHNC0167-2026-06-14
DHNC0168,2026-06-14,Dhanmondi,Res-C,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0168-2026-06-14
DHNC0169,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,3,0.0,343.26823817262095,0.3096033500134145,False,True,True,PS-DHNC0169-2026-06-14
DHNC0170,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0170-2026-06-14
DHNC0171,2026-06-14,Dhanmondi,Res-A,Residential,597.3547737671756,0,0,0.0,0.0,0.0,True,True,False,PS-DHNC0171-2026-06-14
