var_type,value,unit,substation,date,slot_index,clock,equation,id
G,122018.9173529635,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-B_ch
B_dis,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-B_dis
T_out,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-T_out
T_in,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-T_in
nu,0.0,kWh,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-nu
Z_critical,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-Z_critical
Z_shiftable,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-Z_shiftable
Z_curtailable,0.0,kW,Dhanmondi,2026-06-14,25,12:30,(17),DEC-DHN-2026-06-14-25-Z_curtailable
G,110496.22633965612,kW,Dhanmondi,2026-06-14,26,13:00,(17),DEC-DHN-2026-06-14-26-G
B_ch,0.0,kW,Dhanmondi,2026-06-14,26,13:00,(17),DEC-DHN-2026-06-14-26-B_ch
